1435,277
2052,1324
1742,1501
1948,360
2038,966
1010,843
2242,1242
248,102
2232,1004
1594,312
657,384
1673,741
1728,1219
1844,1067
910,493
392,196
766,436
2226,113
2220,1114
1015,783
2085,1187
1724,1665
1998,846
887,785
1297,404
693,676
1071,281
2190,1415
2030,223
1396,827
1956,1528
1622,1537
1604,1545
1039,930
900,402
1311,686
2216,993
2181,1115
1219,801
1594,620
900,570
2228,126
1496,281
1984,966
1148,1046
2232,1776
1926,1263
2228,1242
1907,798
1562,899
1979,1528
1829,328
1979,1445
1432,1047
1736,312
2316,2038
1532,845
2205,799
1264,1031
692,373
748,436
2209,993
2212,113
1319,151
2226,1115
2059,1187
1533,898
532,234
1921,360
887,331
1778,597
2223,1776
1438,950
277,109
1386,827
2305,2019
709,224
1818,47
1900,741
1622,1545
2205,113
1535,284
2322,323
2048,1187
1259,1039
2287,1909
1608,620
950,570
2002,966
1940,1263
1993,1528
2216,1907
2171,116
1415,1122
888,183
637,384
205,99
1263,942
1061,851
1510,284
1912,1862
1427,28
2103,1324
2191,2099
2087,100
1264,1039
1225,943
1623,620
2012,1943
2220,1006
2171,2014
1957,966
2209,1907
2295,435
1438,1122
956,321
1497,1403
2092,1333
943,90
1181,577
1979,1215
1640,1545
984,402
1815,1031
649,436
2191,113
2171,1114
1907,1862
2150,1643
2110,1324
1540,1501
2110,100
1148,705
1813,597
326,211
1411,950
2007,1528
2290,1004
2284,435
2085,1333
2030,1067
2091,879
861,829
693,187
1346,686
2181,993
1729,1296
1492,284
744,511
2110,1330
2159,1643
1114,277
1232,726
829,785
1994,1943
2322,1560
1975,966
2232,1415
2022,75
1806,597
383,211
2212,97
1900,1172
1862,798
2030,1528
1912,328
899,777
897,90
649,373
1736,1296
1129,955
2157,1114
2250,107
1590,1501
1303,1039
2087,876
1987,1943
1031,155
2031,75
2225,1415
2290,1776
2086,1457
551,383
567,86
1743,47
1837,27
1688,1219
2330,326
1406,1396
642,373
710,511
1599,1501
1308,1039
1493,830
1315,898
1921,966
2041,1263
2267,873
1340,827
2181,1907
1837,1718
2328,1332
1867,1818
1748,47
845,183
883,90
1569,232
1298,942
828,402
794,636
2143,1114
1382,151
1457,284
1406,28
1945,846
1568,1501
1317,1039
2229,1909
1210,943
1338,898
600,80
2131,1006
282,211
2191,97
821,68
1998,1263
2212,873
1317,827
1618,899
1575,1537
926,777
2240,435
1757,47
834,183
1664,312
2049,1333
1509,1504
567,384
1859,27
1560,232
1826,1589
953,829
1317,942
620,373
1263,851
2131,1643
1196,726
2085,1317
1015,570
2049,1457
2007,1263
2283,1907
536,86
935,777
1348,1122
827,183
1687,312
2012,1874
2250,799
2316,422
1219,577
930,829
1324,942
1129,930
851,436
1382,935
1172,151
2136,1643
1643,846
1618,1501
2159,1460
2144,100
1331,1039
2123,876
2110,1317
2215,1909
1022,570
2104,2014
1827,597
1568,1159
864,30
1594,1348
532,224
1993,1537
1956,1818
1707,47
1523,1504
1724,1219
551,459
2007,1874
876,90
1575,1545
1979,1232
2149,879
939,829
1400,686
1181,851
2123,993
2104,1114
1454,284
2209,1643
2110,1779
1120,277
2175,100
1336,1039
1182,726
2103,1317
701,80
1589,694
1501,52
2223,435
1366,1122
1712,47
1392,598
2012,951
1846,741
1998,1874
2154,879
1342,942
1411,686
599,373
1666,1296
2116,993
833,436
1396,935
1154,151
1346,28
2103,1779
1049,277
2085,1069
2175,1006
2156,1457
1837,1172
1492,52
1544,1348
2328,1867
1956,127
546,224
2212,435
2315,76
1721,47
1377,1122
798,183
1724,312
1807,741
2158,350
779,402
637,187
584,373
2171,347
1366,1039
2144,876
2054,1006
1912,1091
1871,966
2288,1415
2149,1457
843,777
2205,435
2322,76
1400,1122
1378,598
1994,951
1900,27
2129,350
1968,1874
2129,1215
910,829
500,452
577,373
887,436
1346,935
1041,955
2144,347
2051,1460
2057,1006
1366,281
1862,966
2057,1415
2244,1907
751,86
2029,1537
1928,1818
